date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:19	22/22	---M--	200	added ('OK')	text/plain	date:Sun,%2007%20Sep%202014%2017:00:00%20GMT	https://ttl3d.zing.vn/robots.txt		(from )
11:25:20	25530/25530	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/index.html	(from )
11:25:20	13580/13580	---MCZ	200	added ('OK')	text/css	date:Mon,%2007%20Aug%202023%2022:08:47%20GMT	http://img.zing.vn/products/vendor/swiper/2019/swiper.min.css	D:/Game/Copier/TLBBVNG/img.zing.vn/products/vendor/swiper/2019/swiper.min.css	(from https://ttl3d.zing.vn/)
11:25:21	27713/27713	---MCZ	200	added ('OK')	text/css	date:Mon,%2007%20Aug%202023%2022:07:08%20GMT	http://img.zing.vn/products/ks3d/skin-2021/css-full/style.css	D:/Game/Copier/TLBBVNG/img.zing.vn/products/ks3d/skin-2021/css-full/style.css	(from https://ttl3d.zing.vn/)
11:25:21	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2010%20Jan%202024%2004:25:21%20GMT	http://connect.facebook.net/en_US/fbds.js	D:/Game/Copier/TLBBVNG/connect.facebook.net/en_US/fbds.4.delayed	(from https://ttl3d.zing.vn/)
11:25:21	6309/6309	---M--	200	added ('OK')	text/css	etag:%22658efd9d-18a5%22	https://chat.support.vnggames.com/cslivechat/app.css	D:/Game/Copier/TLBBVNG/chat.support.vnggames.com/cslivechat/app.css	(from https://ttl3d.zing.vn/)
11:25:22	4024/4024	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b8369656b55c5b573e8a9aeccf43cb66%22	https://connect.facebook.net/en_US/fbds.js	D:/Game/Copier/TLBBVNG/connect.facebook.net/en_US/fbds.js	(from https://ttl3d.zing.vn/)
11:25:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2010%20Jan%202024%2004:25:22%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Game/Copier/TLBBVNG/www.googletagmanager.com/gtm.65445.delayed	(from https://ttl3d.zing.vn/)
11:25:22	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2004:25:22%20GMT	http://ttl3d.zing.vn/index.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/index.7.delayed	(from https://ttl3d.zing.vn/)
11:25:24	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2004:25:23%20GMT	http://ttl3d.zing.vn/tin-tuc/danh-sach.1.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/tin-tuc/danh-sach.1.html	(from https://ttl3d.zing.vn/)
11:25:25	62912/62912	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Aug%202023%2022:07:08%20GMT	http://img.zing.vn/products/ks3d/skin-2014/images/thumbshare.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/products/ks3d/skin-2014/images/thumbshare.jpg	(from https://ttl3d.zing.vn/)
11:25:25	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2004:25:25%20GMT	http://ttl3d.zing.vn/su-kien/danh-sach.1.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/su-kien/danh-sach.1.c.delayed	(from https://ttl3d.zing.vn/)
11:25:26	25610/25610	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/index.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/index-2.html	(from https://ttl3d.zing.vn/)
11:25:26	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2004:25:26%20GMT	http://ttl3d.zing.vn/bai-viet/huong-dan/tai-game-ttl-3d.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/bai-viet/huong-dan/tai-game-ttl-3d.html	(from https://ttl3d.zing.vn/)
11:25:27	21933/21933	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/tin-tuc/danh-sach.1.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/tin-tuc/danh-sach.1.html	(from https://ttl3d.zing.vn/)
11:25:27	517/517	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2004:25:26%20GMT,%20Wed,%2010%20Jan%202024%2004:25:26%20GMT	https://ttl3d.zing.vn/bai-viet/huong-dan/tai-game-ttl-3d.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/bai-viet/huong-dan/tai-game-ttl-3d.html	(from https://ttl3d.zing.vn/)
11:25:27	28416/28416	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/su-kien/danh-sach.1.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/su-kien/danh-sach.1.html	(from https://ttl3d.zing.vn/)
